CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Hargrave,619,France,Female,42.0,2,0.0,1,yes,yes,101348.88,yes
15647311,Hill,608,Spain,Female,41.0,1,83807.86,1,no,yes,112542.58,no
15619304,Onio,502,France,Female,42.0,8,159660.8,3,yes,no,113931.57,yes
15701354,Boni,699,France,Female,39.0,1,0.0,2,no,no,93826.63,no
15737888,Mitchell,850,Spain,Female,43.0,2,125510.82,1,yes,yes,79084.1,no
15574012,Chu,645,Spain,Male,44.0,8,113755.78,2,yes,no,149756.71,yes
15592531,Bartlett,822,France,Male,50.0,7,0.0,2,yes,yes,10062.8,no
15656148,Obinna,376,Germany,Female,29.0,4,115046.74,4,yes,no,119346.88,yes
15792365,He,501,France,Male,44.0,4,142051.07,2,no,yes,74940.5,no
15592389,H?,684,France,Male,27.0,2,134603.88,1,yes,yes,71725.73,no
15767821,Bearce,528,France,Male,31.0,6,102016.72,2,no,no,80181.12,no
15737173,Andrews,497,Spain,Male,24.0,3,0.0,2,yes,no,76390.01,no
15632264,Kay,476,,Female,34.0,10,0.0,2,yes,no,26260.98,no
15691483,Chin,549,France,Female,25.0,5,0.0,2,no,no,190857.79,no
15600882,Scott,635,Spain,Female,35.0,7,0.0,2,yes,yes,65951.65,no
15643966,Goforth,616,Germany,Male,45.0,3,143129.41,2,no,yes,64327.26,no
15737452,Romeo,653,Germany,Male,58.0,1,132602.88,1,yes,no,5097.67,yes
15788218,Henderson,549,Spain,Female,24.0,9,0.0,2,yes,yes,14406.41,no
15661507,Muldrow,587,Spain,Male,45.0,6,0.0,1,no,no,158684.81,no
15568982,,726,France,Female,24.0,6,0.0,2,yes,yes,54724.03,no
15577657,McDonald,732,France,Male,41.0,8,0.0,2,yes,yes,170886.17,no
15597945,Dellucci,636,Spain,Female,32.0,8,0.0,2,yes,no,138555.46,no
15699309,Gerasimov,510,Spain,Female,38.0,4,0.0,1,yes,no,118913.53,yes
15725737,Mosman,669,France,Male,46.0,3,0.0,2,no,yes,8487.75,no
15625047,Yen,846,France,Female,38.0,5,0.0,1,yes,yes,187616.16,no
15738191,Maclean,577,France,Male,25.0,3,0.0,2,no,yes,124508.29,no
15736816,Young,756,Germany,Male,36.0,2,136815.64,1,yes,yes,170041.95,no
15700772,Nebechi,571,France,Male,44.0,9,0.0,2,no,no,38433.35,no
15728693,McWilliams,574,,Female,43.0,3,141349.43,1,yes,yes,100187.43,no
15656300,,411,France,Male,29.0,0,,2,yes,yes,53483.21,no
15589475,Azikiwe,591,Spain,Female,39.0,3,0.0,3,yes,no,140469.38,yes
15706552,,533,France,Male,36.0,7,,1,no,yes,156731.91,no
15750181,Sanderson,553,Germany,Male,41.0,9,110112.54,2,no,no,81898.81,no
15659428,,520,Spain,Female,42.0,6,,2,yes,yes,34410.55,no
15732963,Clements,722,,Female,29.0,9,0.0,2,yes,yes,142033.07,no
15794171,,475,,,,0,,1,,no,,yes
15788448,Watson,490,Spain,Male,31.0,3,145260.23,1,no,yes,114066.77,no
15729599,Lorenzo,804,Spain,Male,33.0,7,76548.6,1,no,yes,98453.45,no
15717426,Armstrong,850,France,Male,36.0,7,0.0,1,yes,yes,40812.9,no
15585768,,582,Germany,,,6,,2,,yes,,no
15619360,Hsiao,472,Spain,Male,40.0,4,0.0,1,yes,no,70154.22,no
15738148,Clarke,465,France,Female,51.0,8,122522.32,1,no,no,181297.65,yes
15687946,Osborne,556,France,Female,61.0,2,117419.35,1,yes,yes,94153.83,no
15755196,Lavine,834,France,Female,49.0,2,131394.56,1,no,no,194365.76,yes
15684171,Bianchi,660,Spain,Female,61.0,5,155931.11,1,yes,yes,158338.39,no
15754849,Tyler,776,Germany,Female,32.0,4,109421.13,2,yes,yes,126517.46,no
15602280,Martin,829,Germany,Female,27.0,9,112045.67,1,yes,yes,119708.21,yes
15771573,Okagbue,637,Germany,Female,39.0,9,137843.8,1,yes,yes,117622.8,yes
15766205,Yin,550,Germany,Male,38.0,2,103391.38,1,no,yes,90878.13,no
15771873,Buccho,776,Germany,Female,37.0,2,103769.22,2,yes,no,194099.12,no
15616550,Chidiebele,698,Germany,Male,44.0,10,116363.37,2,yes,no,198059.16,no
15768193,Trevisani,585,Germany,Male,36.0,5,146050.97,2,no,no,86424.57,no
15683553,O'Brien,788,France,Female,33.0,5,0.0,2,no,no,116978.19,no
15702298,Parkhill,655,Germany,Male,41.0,8,125561.97,1,no,no,164040.94,yes
15569590,Yoo,601,Germany,Male,42.0,1,98495.72,1,yes,no,40014.76,yes
15760861,Phillipps,619,France,Male,43.0,1,125211.92,1,yes,yes,113410.49,no
15630053,Tsao,656,France,Male,45.0,5,127864.4,1,yes,no,87107.57,no
15647091,Endrizzi,725,Germany,Male,19.0,0,75888.2,1,no,no,45613.75,no
15623944,T'ien,511,Spain,Female,66.0,4,0.0,1,yes,no,1643.11,yes
15804771,Velazquez,614,France,Male,51.0,4,40685.92,1,yes,yes,46775.28,no
15651280,Hunter,742,Germany,Male,35.0,5,136857.0,1,no,no,84509.57,no
15773469,Clark,687,Germany,Female,27.0,9,152328.88,2,no,no,126494.82,no
